objectid,title,creator,subject,plant_type,description,light,size,color,bloom_time,genus_name,hardiness_zone,identifier,filename,filesize,type,format,location,date,rights
coll001,Coleus 'Electric Lime',"Mitchell, Kimber","Plants, ornamental",Annual,Showy chartreuse foliage makes a bold statement and doesn't fade in the sun,Sun or Shade,"18"" tall x 15"" wide",Neon lime,Summer,Solenostemon scuttelarroides,Zones 10-11,1000-2020,ElectricLimeColeus.JPG,3 MB,Image;StillImage,image/jpeg,"Adel, Iowa",2017-07-06,© Kimber Mitchell
coll002,Coleus 'El Brighto',"Mitchell, Kimber","Plants, ornamental",Annual,Heat-tolerant variety unleashes a fiery show of foliage,Sun or Shade,"24"" tall x 18"" wide",Red and yellow,Summer,Solenostemon scuttelarroides,Zones 10-11,1001-2021,ElBrightoColeus.JPG,3.5 MB,Image;StillImage,image/jpeg,"Adel, Iowa",2017-07-28,© Kimber Mitchell
coll003,Cactus Zinnia 'Senora',"Mitchell, Kimber","Plants, ornamental",Annual,"Prolific heirloom with large flowers featuring twisted, shaggy petals",Full Sun,3' tall x 2' wide,Salmon-pink ,Summer,Zinnia elegans,Zones 10-11,1002-2022,SenoraZinnia.JPG,3 MB,Image;StillImage,image/jpeg,"Adel, Iowa",2023-07-04,© Kimber Mitchell
coll004,Hydrangea 'Annabelle',"Mitchell, Kimber","Plants, ornamental",Perennial,Massive white blooms make this ornamental shrub a standout,Sun or Part Shade,4' tall x 3' wide,Ivory,Summer,Hydrangea arborescens,Zones 3-9,1003-2023,AnnabelleHydrangea.JPG,3.3 MB,Image;StillImage,image/jpeg,"Adel, Iowa",2022-06-15,© Kimber Mitchell
coll005,Stonecrop 'Atlantis',"Mitchell, Kimber","Plants, ornamental",Perennial,Low-growing clumping succulent boasts serrated variegated leaves that become tinged with blush tones in fall,Full Sun,"4"" tall x 4"" wide",Creamy-yellow and emerald green,Summer to Fall,Sedum takesimense,Zones 4-9,1004-2024,AtlantisStonecrop.JPG,2.8 MB,Image;StillImage,image/jpeg,"Adel, Iowa",2022-06-06,© Kimber Mitchell
coll006,Coneflower 'Green Twister',"Mitchell, Kimber","Plants, ornamental",Perennial,"Chameleon-like in its coloration, this mesmerizing twist on the beloved coneflower attracts pollinators while repelling deer",Full Sun,"36"" tall x 24"" wide",Bright green and magenta,Summer,Echinacea,Zones 3-9,1005-2025,GreenTwisterConeflower.JPG,3.1 MB,Image;StillImage,image/jpeg,"Adel, Iowa",2020-07-10,© Kimber Mitchell
coll007,Boxwood 'Green Velvet',"Mitchell, Kimber","Plants, ornamental",Perennial,This vigorous variety forms dense hedges and lends year-round greenery,Part or Full Sun,3' tall x 4' wide,Green,None,Buxus,Zones 4-9,1006-2026,GreenVelvetBoxwood.JPG,4.3 MB,Image;StillImage,image/jpeg,"Adel, Iowa",2020-06-24,© Kimber Mitchell
coll008,False Sunflower 'Sunburst',"Mitchell, Kimber","Plants, ornamental",Perennial,A striking combination of variegated veined leaves and yellow daisy-like blooms ,Full Sun,"30"" tall x 24"" wide",Yellow,Summer,Heliopsis,Zones 4-9,1007-2027,SunburstFalseSunflower.JPG,4 MB,Image;StillImage,image/jpeg,"Adel, Iowa",2018-07-26,© Kimber Mitchell
coll009,Pink Bee Balm,"Mitchell, Kimber","Plants, ornamental",Perennial,Aromatic foliage scents the garden while electric pink blooms attract pollinators aplenty,Part Shade or Full Sun,"18"" tall x 18"" wide",Hot pink,Summer,Monarda,Zones 4-8,1008-2028,PinkBeeBalm.JPG,3.1 MB,Image;StillImage,image/jpeg,"Adel, Iowa",2018-07-15,© Kimber Mitchell
coll010,Coral Bells 'Timeless Treasure',"Mitchell, Kimber","Plants, ornamental",Perennial,Low grower showcases dark-veined pewter foliage before it even blooms,Full Shade to Part Sun,"8"" tall x 14"" wide",Pink,Summer,Heuchera,Zones 4-9,1009-2029,TimelssTreasureCB.JPG,1.5 MB,Image;StillImage,image/jpeg,"Adel, Iowa",2018-08-04,© Kimber Mitchell
